model_name,num_params,total_training_time_s,train_mae,train_rmse,val_mae,val_rmse,test_mae,test_rmse,stopped_epoch,best_epoch,config_file,save_dir,cfg.data.augment,cfg.data.batch_size,cfg.data.clahe,cfg.data.image_size,cfg.model.dropout_rate,cfg.model.fusion_dense_units,cfg.model.channels,cfg.model.dense_units,cfg.model.roi_channels,cfg.model.roi_dense_units,cfg.model.use_gender,cfg.roi.extractor.heatmap_threshold,cfg.roi.extractor.roi_size,cfg.roi.extractor.save_heatmaps,cfg.roi.locator.pretrained_model_path,cfg.roi.locator.roi_path,cfg.training.epochs,cfg.training.learning_rate,cfg.training.patience,cfg.training.perform_test,cfg.training.results_csv,cfg.training.warmup_epochs,cfg.model.skipcon_block_filters,cfg.model.skipcon_blocks_per_stage,cfg.model.skipcon_stem_filters,cfg.model.inception_a_blocks,cfg.model.inception_b_blocks,cfg.model.inception_base_filters,cfg.model.inception_c_blocks
BaseCNN,296097,22038.79,10.5981,13.8145,14.7761,21.4431,29.9536,37.5488,44,34,experiments/configs/base.yaml,experiments/checkpoints/BaseCNN/base/BaseCNN_base_01,FALSE,16,TRUE,256,0.2,N/A,"[32, 64, 128]",64,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,N/A,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaseCNN,296097,21481.62,12.2475,16.1614,11.9884,16.0498,13.4504,18.6545,43,33,experiments/configs/base.yaml,experiments/checkpoints/BaseCNN/base/BaseCNN_base_02,FALSE,16,TRUE,256,0.2,N/A,"[32, 64, 128]",64,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,N/A,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaseCNN,296625,18106.4,9.3089,12.4729,9.0782,12.7421,9.4167,14.2543,35,25,experiments/configs/base.yaml,experiments/checkpoints/BaseCNN/base/BaseCNN_base_03,FALSE,16,TRUE,256,0.2,N/A,"[32, 64, 128]",64,N/A,N/A,TRUE,N/A,N/A,N/A,N/A,N/A,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaseCNN,296097,6845.83,13.1823,17.2218,12.9811,17.3039,17.16,21.9562,35,25,experiments/configs/base.yaml,experiments/checkpoints/BaseCNN/base/BaseCNN_base_04,FALSE,16,FALSE,256,0.2,N/A,"[32, 64, 128]",64,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,N/A,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BaseCNN,296625,7779.19,9.6884,12.9444,8.9392,12.3338,9.8968,13.6598,39,29,experiments/configs/base.yaml,experiments/checkpoints/BaseCNN/base/BaseCNN_base_05,FALSE,16,FALSE,256,0.2,N/A,"[32, 64, 128]",64,N/A,N/A,TRUE,N/A,N/A,N/A,N/A,N/A,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROI_CNN,608705,7948.26,13.5909,17.8405,13.7563,18.4178,17.3725,23.0194,60,50,experiments/configs/roi_only.yaml,experiments/checkpoints/ROI_CNN/roi_only/ROI_CNN_roi_only_01,FALSE,16,TRUE,256,0.2,N/A,N/A,N/A,"[32, 64, 128]",64,FALSE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROI_CNN,609745,5517.3,12.1834,15.9918,10.7694,15.0298,13.9372,19.3708,49,39,experiments/configs/roi_only.yaml,experiments/checkpoints/ROI_CNN/roi_only/ROI_CNN_roi_only_02,FALSE,16,TRUE,256,0.2,N/A,N/A,N/A,"[32, 64, 128]",64,TRUE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,921121,36101.14,12.909,16.5128,12.1297,15.993,13.7436,17.7577,64,54,experiments/configs/fusion.yaml,experiments/checkpoints/Fusion_CNN/fusion/Fusion_CNN_fusion_01,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64, 128]",64,FALSE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,922161,29755.15,13.6128,17.6821,11.3718,15.7487,15.7797,21.9655,53,43,experiments/configs/fusion.yaml,experiments/checkpoints/Fusion_CNN/fusion/Fusion_CNN_fusion_02,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64, 128]",64,TRUE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROI_CNN,600385,5874.41,14.3593,18.5426,13.8684,18.2427,16.7151,21.9752,56,46,experiments/configs/roi_only.yaml,experiments/checkpoints/ROI_CNN/roi_only/ROI_CNN_roi_only_03,FALSE,16,TRUE,256,0.2,N/A,N/A,N/A,"[32, 64, 128]",64,FALSE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ROI_CNN,600913,7246.5,12.3301,16.1375,10.6227,15.0334,12.4744,18.859,63,53,experiments/configs/roi_only.yaml,experiments/checkpoints/ROI_CNN/roi_only/ROI_CNN_roi_only_04,FALSE,16,TRUE,256,0.2,N/A,N/A,N/A,"[32, 64, 128]",64,TRUE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,917089,29729.45,12.3151,15.7624,12.878,16.73,15.338,20.008,54,44,experiments/configs/fusion.yaml,experiments/checkpoints/Fusion_CNN/fusion/Fusion_CNN_fusion_03,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64, 128]",64,FALSE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,918129,11411.97,13.238,17.3182,10.4407,14.1759,12.657,19.1487,21,11,experiments/configs/fusion_gender.yaml,experiments/checkpoints/Fusion_CNN/fusion_gender/Fusion_CNN_fusion_gender_01,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64, 128]",64,TRUE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,456161,13201.23,13.5869,17.5001,13.3286,17.1079,16.6979,20.5189,25,15,experiments/configs/fusion.yaml,experiments/checkpoints/Fusion_CNN/fusion/Fusion_CNN_fusion_04,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64]",32,FALSE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FusionCNN,457201,19094.11,12.7566,16.4659,9.913,13.4936,10.6423,14.4572,36,26,experiments/configs/fusion_gender.yaml,experiments/checkpoints/Fusion_CNN/fusion_gender/Fusion_CNN_fusion_gender_02,FALSE,16,TRUE,256,0.2,"[128, 64]","[32, 64, 128]",64,"[32, 64]",32,TRUE,0.25,128,TRUE,BaseCNN/base/BaseCNN_base_02/BaseCNN_best.keras,data/cropped_rois,70,0.001,10,TRUE,experiments/train_results_summary.csv,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
